filename,time_sec,peak_mem_kb,result
uf20-0444.cnf,0.0011,0,SAT
uf20-0445.cnf,0.0006,0,SAT
uf20-0446.cnf,0.0094,0,SAT
uf20-0447.cnf,0.0016,0,SAT
uf20-0448.cnf,0.0141,0,SAT
uf20-0449.cnf,0.0813,0,SAT
uf20-045.cnf,0.0011,0,SAT
uf20-0450.cnf,0.0032,0,SAT
uf20-0451.cnf,0.0036,0,SAT
uf20-0452.cnf,0.0096,0,SAT
uf20-0453.cnf,0.0274,0,SAT
uf20-0454.cnf,0.1463,0,SAT
uf20-0455.cnf,0.0060,0,SAT
uf20-0456.cnf,0.0052,0,SAT
uf20-0457.cnf,0.0010,0,SAT
uf20-0458.cnf,0.0049,0,SAT
uf20-0459.cnf,0.0009,0,SAT
uf20-046.cnf,0.0007,0,SAT
uf20-0460.cnf,0.0011,0,SAT
uf20-0461.cnf,0.0026,0,SAT
uf20-0462.cnf,0.0028,0,SAT
uf20-0463.cnf,0.0133,0,SAT
uf20-0464.cnf,0.0011,0,SAT
uf20-0465.cnf,0.0045,0,SAT
uf20-0466.cnf,0.0070,0,SAT
uf20-0467.cnf,0.0026,0,SAT
uf20-0468.cnf,0.0096,0,SAT
uf20-0469.cnf,0.0335,0,SAT
uf20-047.cnf,0.0069,0,SAT
uf20-0470.cnf,0.0015,0,SAT
uf20-0471.cnf,0.0015,0,SAT
uf20-0472.cnf,0.0149,0,SAT
uf20-0473.cnf,0.0012,0,SAT
uf20-0474.cnf,0.0115,0,SAT
uf20-0475.cnf,0.0017,0,SAT
uf20-0476.cnf,0.0034,0,SAT
uf20-0477.cnf,0.0108,0,SAT
uf20-0478.cnf,0.0097,0,SAT
uf20-0479.cnf,0.0097,0,SAT
uf20-048.cnf,0.0124,0,SAT
uf20-0480.cnf,0.0016,0,SAT
uf20-0481.cnf,0.0072,0,SAT
uf20-0482.cnf,0.0062,0,SAT
uf20-0483.cnf,0.0006,0,SAT
uf20-0484.cnf,0.0061,0,SAT
uf20-0485.cnf,0.0040,0,SAT
uf20-0486.cnf,0.0069,0,SAT
uf20-0487.cnf,0.0011,0,SAT
uf20-0488.cnf,0.0011,0,SAT
uf20-0489.cnf,0.0026,0,SAT
uf20-049.cnf,0.0698,0,SAT
uf20-0490.cnf,0.0109,0,SAT
uf20-0491.cnf,0.0208,0,SAT
uf20-0492.cnf,0.0017,0,SAT
uf20-0493.cnf,0.0027,0,SAT
uf20-0494.cnf,0.0015,0,SAT
uf20-0495.cnf,0.0039,0,SAT
uf20-0496.cnf,0.0058,0,SAT
uf20-0497.cnf,0.0034,0,SAT
uf20-0498.cnf,0.0039,0,SAT
uf20-0499.cnf,0.0030,0,SAT
uf20-050.cnf,0.0158,0,SAT
uf20-0500.cnf,0.0277,0,SAT
uf20-0501.cnf,0.0061,0,SAT
uf20-0502.cnf,0.0012,0,SAT
uf20-0503.cnf,0.0057,0,SAT
uf20-0504.cnf,0.0009,0,SAT
uf20-0505.cnf,0.0020,0,SAT
uf20-0506.cnf,0.0158,0,SAT
uf20-0507.cnf,0.0021,0,SAT
uf20-0508.cnf,0.0067,0,SAT
uf20-0509.cnf,0.0027,0,SAT
uf20-051.cnf,0.0018,0,SAT
uf20-0510.cnf,0.0025,0,SAT
uf20-0511.cnf,0.0008,0,SAT
uf20-0512.cnf,0.0017,0,SAT
uf20-0513.cnf,0.0040,0,SAT
uf20-0514.cnf,0.0315,0,SAT
uf20-0515.cnf,0.0017,0,SAT
uf20-0516.cnf,0.0021,0,SAT
uf20-0517.cnf,0.0127,0,SAT
uf20-0518.cnf,0.0065,0,SAT
uf20-0519.cnf,0.0460,0,SAT
uf20-052.cnf,0.0164,0,SAT
uf20-0520.cnf,0.0208,0,SAT
uf20-0521.cnf,0.0030,0,SAT
uf20-0522.cnf,0.0008,0,SAT
uf20-0523.cnf,0.0125,0,SAT
uf20-0524.cnf,0.0377,0,SAT
uf20-0525.cnf,0.0013,0,SAT
uf20-0526.cnf,0.0150,0,SAT
uf20-0527.cnf,0.0032,0,SAT
uf20-0528.cnf,0.0039,0,SAT
uf20-0529.cnf,0.0080,0,SAT
uf20-053.cnf,0.0009,0,SAT
uf20-0530.cnf,0.0012,0,SAT
uf20-0531.cnf,0.0016,0,SAT
uf20-0532.cnf,0.0201,0,SAT
uf20-0533.cnf,0.0198,0,SAT
uf20-0534.cnf,0.0033,0,SAT
uf20-0535.cnf,0.0011,0,SAT
uf20-0536.cnf,0.0359,0,SAT
uf20-0537.cnf,0.0254,0,SAT
uf20-0538.cnf,0.0093,0,SAT
uf20-0539.cnf,0.0014,0,SAT
uf20-054.cnf,0.0050,0,SAT
uf20-0540.cnf,0.0011,0,SAT
uf20-0541.cnf,0.0056,0,SAT
uf20-0542.cnf,0.0108,0,SAT
uf20-0543.cnf,0.0211,0,SAT
uf20-0544.cnf,0.0184,0,SAT
uf20-0545.cnf,0.0037,0,SAT
uf20-0546.cnf,0.0050,0,SAT
uf20-0547.cnf,0.0015,0,SAT
uf20-0548.cnf,0.0015,0,SAT
uf20-0549.cnf,0.0018,0,SAT
uf20-055.cnf,0.0013,0,SAT
uf20-0550.cnf,0.0124,0,SAT
uf20-0551.cnf,0.0034,0,SAT
uf20-0552.cnf,0.0343,0,SAT
uf20-0553.cnf,0.0380,0,SAT
uf20-0554.cnf,0.0019,0,SAT
uf20-0555.cnf,0.0069,0,SAT
uf20-0556.cnf,0.0152,0,SAT
uf20-0557.cnf,0.0058,0,SAT
uf20-0558.cnf,0.0115,0,SAT
uf20-0559.cnf,0.0013,0,SAT
uf20-056.cnf,0.0021,0,SAT
uf20-0560.cnf,0.0054,0,SAT
uf20-0561.cnf,0.0017,0,SAT
uf20-0562.cnf,0.0070,0,SAT
uf20-0563.cnf,0.0006,0,SAT
uf20-0564.cnf,0.0039,0,SAT
uf20-0565.cnf,0.0070,0,SAT
uf20-0566.cnf,0.0046,0,SAT
uf20-0567.cnf,0.0007,0,SAT
uf20-0568.cnf,0.0370,0,SAT
uf20-0569.cnf,0.0025,0,SAT
uf20-057.cnf,0.0009,0,SAT
uf20-0570.cnf,0.0011,0,SAT
uf20-0571.cnf,0.0009,0,SAT
uf20-0572.cnf,0.0144,0,SAT
uf20-0573.cnf,0.0013,0,SAT
uf20-0574.cnf,0.0041,0,SAT
